cos	  dcos	I	  dI	class
0.345	0.017	2.4	0.1	a
0.430	0.017	3.1	0.1	a
0.517	0.017	3.7	0.1	a
0.604	0.017	4.3	0.1	a
0.687	0.016	5.1	0.1	a
0.765	0.015	5.4	0.1	a
0.835	0.013	6.3	0.1	a
0.894	0.011	6.7	0.1	a
0.941	0.008	7.1	0.1	a
0.976	0.005	7.5	0.1	a
0.995	0.002	7.7	0.1	a
0.9997	0.0006	7.7	0.1	a
0.989	0.004	7.7	0.1	a
0.964	0.007	7.5	0.1	a
0.924	0.009	7.2	0.1	a
0.872	0.012	6.8	0.1	a
0.808	0.014	6.3	0.1	a
0.735	0.015	5.7	0.1	a
0.655	0.017	5.2	0.1	a
0.570	0.017	4.5	0.1	a
0.483	0.017	3.8	0.1	a
0.396	0.017	3.1	0.1	a
0.313	0.016	2.6	0.1	a
0.235	0.015	1.9	0.1	a
0.165	0.013	1.3	0.1	a
0.106	0.011	0.9	0.1	a
0.059	0.008	0.6	0.1	a
0.024	0.005	0.2	0.1	a
0.005	0.002	0.1	0.1	a
0.0003	0.0006	0.1	0.1	a
0.011	0.004	0.1	0.1	a
0.036	0.007	0.3	0.1	a
0.076	0.009	0.6	0.1	a
0.128	0.012	1.0	0.1	a
0.192	0.014	1.4	0.1	a
0.265	0.015	1.9	0.1	a
0.345	0.017	2.7	0.1	a
0.430	0.017	3.2	0.1	a
0.517	0.017	4.0	0.1	a
0.604	0.017	4.5	0.1	a
0.687	0.016	5.2	0.1	a
0.765	0.015	5.9	0.1	a
0.835	0.013	6.4	0.1	a
0.894	0.011	6.9	0.1	a
0.941	0.008	7.2	0.1	a
0.976	0.005	7.5	0.1	a
0.995	0.002	7.7	0.1	a
0.9997	0.0006	7.7	0.1	a
0.989	0.004	7.6	0.1	a
0.964	0.007	7.4	0.1	a
0.924	0.009	7.1	0.1	a
0.872	0.012	6.6	0.1	a
0.808	0.014	6.2	0.1	a
0.735	0.015	5.6	0.1	a
0.655	0.017	5.1	0.1	a
0.570	0.017	4.5	0.1	a
0.483	0.017	3.8	0.1	a
0.396	0.017	3.3	0.1	a
0.313	0.016	2.6	0.1	a
0.235	0.015	1.8	0.1	a
0.165	0.013	1.3	0.1	a
0.106	0.011	0.8	0.1	a
0.059	0.008	0.5	0.1	a
0.024	0.005	0.2	0.1	a
0.005	0.002	0.1	0.1	a
0.0003	0.0006	0.0	0.1	a
0.011	0.004	0.1	0.1	a
0.036	0.007	0.2	0.1	a
0.076	0.009	0.5	0.1	a
0.128	0.012	0.8	0.1	a
0.192	0.014	1.4	0.1	a
0.265	0.015	1.9	0.1	a
0.345	0.017	2.6	0.1	a
